Fabricante,Modelo,Precio,Moneda,Link
TCL,T770B,315.00,USD,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/tcl-t770b
Alcatel,5029E,200,MLC,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/alcatel-5029e-0
Samsung,SM-A21,299,MLC,http://www.etecsa.cu/es/equipos-accesorios/telefonos-moviles/samsung-sm-a21
TCL,T766J,310,MLC,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/tcl-t766j
TCL,T766A,245,MLC,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/tcl-t766a
Samsung,SM-A515F,420,MLC,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/samsung-sm-a515f
Samsung,SM-A315G,375,MLC,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/samsung-sm-a315g
Mobo,Active,95,MLC,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/accesorios/mobo-active
Mobo,Cronos,24,MLC,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/accesorios/mobo-cronos
Mobo,Strong,52,MLC,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/accesorios/mobo-strong
LG,K62,370,MLC,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/lg-k62
LG,K41S,231,MLC,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/lg-k41s
TCL,10,Pro,550,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/tcl-10-pro
TCL,10L,315,MLC,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/tcl-10l
LG,K71,510,MLC,http://www.etecsa.cu/es/emprendedores/equipos-accesorios/telefonos-moviles/lg-k71
